acci_name_ar,acci_name_normalized,count,incident_type_ar,severity_ar,incident_type_en,severity_label_en,incident_type_code,severity_code,severity_weight,is_severity_known,include_in_eda,exclude_reason,review_status,notes
مركبه عطلانه في الشارع - بسيط,مركبه عطلانه في الشارع - بسيط,83297,مركبه عطلانه في الشارع,بسيط,disabled vehicle on road,minor,disabled_vehicle_on_road,minor,1,true,true,,translated_reviewed,
الوقوف خلف المركبات (دبل بارك) - بسيط,الوقوف خلف المركبات (دبل بارك) - بسيط,58031,الوقوف خلف المركبات (دبل بارك),بسيط,double parking behind vehicles,minor,double_parking,minor,1,true,true,,translated_reviewed,
صدم عمود - بسيط,صدم عمود - بسيط,43851,صدم عمود,بسيط,hit pole,minor,hit_pole,minor,1,true,true,,translated_reviewed,
حادث اصطدام بين سيارتين- بسيط,حادث اصطدام بين سيارتين - بسيط,36356,اصطدام بين سيارتين,بسيط,two-vehicle collision,minor,two_vehicle_collision,minor,1,true,true,,translated_reviewed,
تعطل مركبة على طريق عام,تعطل مركبة على طريق عام,35380,تعطل مركبة على طريق عام,,vehicle breakdown on public road,not specified,vehicle_breakdown_public_road,unknown,0,false,true,,translated_reviewed,
صدم جدار - بسيط,صدم جدار - بسيط,31819,صدم جدار,بسيط,hit wall,minor,hit_wall,minor,1,true,true,,translated_reviewed,
صدم حاجز - بسيط,صدم حاجز - بسيط,29010,صدم حاجز,بسيط,hit barrier,minor,hit_barrier,minor,1,true,true,,translated_reviewed,
اصطدام بين مركبتين - بسيط,اصطدام بين مركبتين - بسيط,28475,اصطدام بين مركبتين,بسيط,two-vehicle collision,minor,two_vehicle_collision,minor,1,true,true,,translated_reviewed,
تعطل مركبة خفيفة - بسيط,تعطل مركبة خفيفة - بسيط,25951,تعطل مركبة خفيفة,بسيط,light vehicle breakdown,minor,light_vehicle_breakdown,minor,1,true,true,,translated_reviewed,
مركبات مخالفة,مركبات مخالفة,22262,مركبات مخالفة,,violating vehicles,not specified,vehicle_violation,unknown,0,false,true,,translated_reviewed,
